Symptoms,,,,,,,
Sneezing,running nose,an itchy nose,coughing,itchy eyes,watery eyes,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Blood or blood clots in the urine,Pain or burning sensation during urination,Frequent urination,Lower back pain on 1 side of the body,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Blood or blood clots in the urine,Pain or burning sensation during urination,Frequent urination,Lower back pain on 1 side of the body,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Blood or blood clots in the urine,Pain or burning sensation during urination,Frequent urination,Lower back pain on 1 side of the body,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Blood or blood clots in the urine,Pain or burning sensation during urination,Frequent urination,Lower back pain on 1 side of the body,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Bleeding,Bloating,Constipation,Diarrhea,Heartburn,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Blood or blood clots in the urine,Pain or burning sensation during urination,Frequent urination,Lower back pain on 1 side of the body,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Bleeding,Bloating,Constipation,Diarrhea,Heartburn,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Bleeding,Bloating,Constipation,Diarrhea,Heartburn,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Blood or blood clots in the urine,Pain or burning sensation during urination,Frequent urination,Lower back pain on 1 side of the body,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Bleeding,Bloating,Constipation,Diarrhea,Heartburn,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Blood or blood clots in the urine,Pain or burning sensation during urination,Frequent urination,Lower back pain on 1 side of the body,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,,,,,
Frequent urination,Increased thirst,Increased hunger,,,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,shoulder pain,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
Pain,Fullness,Pressure,Bloating,Urinary or bowel changes,,,
A burning or aching sensation at the bulge,Pain or discomfort in your groin,especially when bending over,coughing or lifting,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
pain and burning with urination,,,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Frequent urination,Blood in the urine,Pain or burning during urination,,,,,
Headaches,Personality or memory changes,Nausea or vomiting,,,,,
Headaches,Personality or memory changes,Nausea or vomiting,,,,,
Headaches,Personality or memory changes,Nausea or vomiting,,,,,
Headaches,Personality or memory changes,Nausea or vomiting,,,,,
Headaches,Personality or memory changes,Nausea or vomiting,,,,,
Headaches,Personality or memory changes,Nausea or vomiting,,,,,
Headaches,Personality or memory changes,Nausea or vomiting,,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Abdominal pain and discomfort,Bleeding in the digestive tract,Constipation and Diarrhoea,Difficulty Swallowing.,,,,
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Chest pain,chest tightness,chest pressure and chest discomfort,Shortness of breath,Pain in the neck,jaw,throat,upper abdomen or back
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Agitation,hostility or aggression,Alterations in energy levels,Anxiety,Confusion or disconnectedness,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Blood in urine,Painful urination,Difficulty urinating,A weakened urine stream,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Partial or complete paralysis,Difficulty reading and writing,Muscle weakness,,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Severe swelling (edema),particularly around your eyes and in your ankles and feet,Weight gain due to fluid retention,Loss of appetite.,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Bad breath that won't go away,Red or swollen gums,Painful chewing,Sensitive teeth,,,,
Severe pain,Fever,Bloody stools,Persistent nausea and vomiting,Weight loss,,,
Severe pain,Fever,Bloody stools,Persistent nausea and vomiting,Weight loss,,,
Severe pain,Fever,Bloody stools,Persistent nausea and vomiting,Weight loss,,,
Severe pain,Fever,Bloody stools,Persistent nausea and vomiting,Weight loss,,,
Severe pain,Fever,Bloody stools,Persistent nausea and vomiting,Weight loss,,,
Severe pain,Fever,Bloody stools,Persistent nausea and vomiting,Weight loss,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
mild pain and discomfort,sore throat,runny nose,noisy breathing,or bad breath,,,
Fatigue,Weakness,Shortness of breath,Irregular heartbeats,,,,
Fatigue,Weakness,Shortness of breath,Irregular heartbeats,,,,
Fatigue,Weakness,Shortness of breath,Irregular heartbeats,,,,
Fatigue,Weakness,Shortness of breath,Irregular heartbeats,,,,
Fatigue,Weakness,Shortness of breath,Irregular heartbeats,,,,
Fatigue,Weakness,Shortness of breath,Irregular heartbeats,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Nausea and vomiting,Loss of appetite,Pain that worsens if you cough,walk,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Low blood sugar,Malnutrition,Vomiting,Ulcers,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
Dry Mouth & Mouth Pain,Fatigue,Nausea & Vomiting,Neutropenia,,,,
chest pain or angina,shortness of breath,fatigue,,,,,
chest pain or angina,shortness of breath,fatigue,,,,,
chest pain or angina,shortness of breath,fatigue,,,,,
chest pain or angina,shortness of breath,fatigue,,,,,
chest pain or angina,shortness of breath,fatigue,,,,,
chest pain or angina,shortness of breath,fatigue,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
temperature,Sweating,Irritability,General weakness,high temperature,low temperature,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Inability to hold urine or leaking urine,Needing to urinate eight or more times in one day,Sudden and urgent need to urinate,,,,,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
Severe,sudden eye pain,Recurrent pain in or around the eye,Hazy,blurred,or double vision,Seeing floating ?spider webs?,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
lump in the breast,swelling of part of the breast,dimpling of breast skin,Redness,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
Trouble breathing,Shortness of breath,A cough that won't go away,Coughing up blood or mucus.,,,,
